"GroupId","Classification","ProcedureNames","Modules","DefinitionCount","Visibility","Signatures","FunctionalCommonalities","RelevantDifferences","CallSiteCount","CallingModules","ProposedCanonicalSignature","ProposedTargetModule","RecommendedAction","RiskLevel"
"DG-EXACT-011","EXACT","TableExists","modBasicModuleSchema; modOrderRepository","2","Private","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","ErrorHandling","","228","modAddressRepository; modAppNavigationService; modArticleGroupService; modBasicModuleSchema; modContactRepository; modDemoDataSeeder; modDocumentCalculationService; modDocumentRepository; modFwComposerService; modFwSetup; modFwTranslationAuditService; modFwTranslationEditService; modFwTranslationRuntime; modFwTranslationTagGeneratorService; modMigrationPaymentTerms; modMigrationTranslations; modNumberRangeRepository; modOrderRepository; modOutputPathService; modTenantRepository; modUserRepository","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modDb","MERGE_EXACT","LOW"
"DG-EXACT-012","EXACT","ApplyFieldDefaultValue","modBasicModuleSchema; modDocumentCalculationService","2","Private","Private Sub ApplyFieldDefaultValue(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String, ByVal DefaultValueExpression As String)","ErrorHandling","","14","modBasicModuleSchema; modDocumentCalculationService","Private Sub ApplyFieldDefaultValue(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String, ByVal DefaultValueExpression As String)","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-013","EXACT","SqlText","modBasicModuleSchema; modOrderRepository","2","Private","Private Function SqlText(ByVal valueText As String) As String","","","712","modAppNavigationService; modAppShell; modArticleGroupService; modArticleService; modBasicModuleSchema; modDemoDataSeeder; modDocumentCalculationService; modDocumentRepository; modFwComposerService; modFwSetup; modFwTranslationAuditService; modFwTranslationEditService; modFwTranslationRuntime; modFwTranslationTagGeneratorService; modMigrationPaymentTerms; modMigrationTranslations; modOrderCalculationService; modOrderRepository; modSqlHelper","Private Function SqlText(ByVal valueText As String) As String","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-014","EXACT","ExecSql","modDemoDataSeeder; modMigrationPaymentTerms","2","Private","Private Sub ExecSql(ByVal db As DAO.Database, ByVal sql As String)","","","20","modDemoDataSeeder; modMigrationPaymentTerms","Private Sub ExecSql(ByVal db As DAO.Database, ByVal sql As String)","MANUAL_TARGET_SELECTION","MERGE_EXACT","MEDIUM"
"DG-EXACT-015","EXACT","GetRecordsetStringValue","modDocumentCalculationService; modOrderCalculationService; modOrderRepository","3","Private","Private Function GetRecordsetStringValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As String) As String","","","63","modDocumentCalculationService; modOrderCalculationService; modOrderRepository","Private Function GetRecordsetStringValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As String) As String","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-016","EXACT","GetRecordsetCurrencyValue","modDocumentCalculationService; modOrderCalculationService","2","Private","Private Function GetRecordsetCurrencyValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As Currency) As Currency","","","50","modDocumentCalculationService; modOrderCalculationService","Private Function GetRecordsetCurrencyValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As Currency) As Currency","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-017","EXACT","GetRecordsetDoubleValue","modDocumentCalculationService; modOrderCalculationService; modOrderRepository","3","Private","Private Function GetRecordsetDoubleValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As Double) As Double","","","45","modDocumentCalculationService; modOrderCalculationService; modOrderRepository","Private Function GetRecordsetDoubleValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As Double) As Double","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-018","EXACT","GetRecordsetLongValue","modDocumentCalculationService; modOrderCalculationService; modOrderRepository","3","Private","Private Function GetRecordsetLongValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As Long) As Long","","","48","modDocumentCalculationService; modOrderCalculationService; modOrderRepository","Private Function GetRecordsetLongValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As Long) As Long","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-019","EXACT","RoundCurrency","modDocumentCalculationService; modDocumentService; modOrderCalculationService; modVatHandler","4","Private","Private Function RoundCurrency(ByVal Amount As Currency) As Currency","","","100","modDocumentCalculationService; modDocumentService; modOrderCalculationService; modVatHandler","Private Function RoundCurrency(ByVal Amount As Currency) As Currency","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-020","EXACT","NzString","modFormLocalization; modFwTranslationRuntime; modFwValidationRuntime","3","Private","Private Function NzString(ByVal Value As Variant, Optional ByVal defaultValue As String = """") As String","","","606","modAddressRepository; modAppNavigationService; modAppShell; modArticleGroupService; modArticleService; modContactRepository; modDaoHelper; modDeepLTranslationService; modDocumentCalculationService; modDocumentRepository; modFormLocalization; modFwComposerService; modFwSetup; modFwTranslationAuditService; modFwTranslationEditService; modFwTranslationRuntime; modFwTranslationTagGeneratorService; modFwValidationRuntime; modNumberingHandler; modNumberRangeRepository; modOrderCalculationService; modOrderRepository; modTenantRepository; modTranslationService; modUserRepository","Private Function NzString(ByVal Value As Variant, Optional ByVal defaultValue As String = """") As String","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-021","EXACT","IsObjectLoaded","modFwComposerService; modFwControlNamingTool","2","Private","Private Function IsObjectLoaded(ByVal objectType As String, ByVal objectName As String) As Boolean","ErrorHandling","","14","modFwComposerService; modFwControlNamingTool","Private Function IsObjectLoaded(ByVal objectType As String, ByVal objectName As String) As Boolean","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-022","EXACT","GetObjectVisible","modFwComposerService; modFwControlNamingTool","2","Private","Private Function GetObjectVisible(ByVal objectType As String, ByVal objectName As String) As Boolean","ErrorHandling","","10","modFwComposerService; modFwControlNamingTool","Private Function GetObjectVisible(ByVal objectType As String, ByVal objectName As String) As Boolean","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-023","EXACT","SaveOpenedObject","modFwComposerService; modFwControlNamingTool","2","Private","Private Sub SaveOpenedObject(ByVal objectType As String, ByVal objectName As String)","ErrorHandling","","10","modFwComposerService; modFwControlNamingTool","Private Sub SaveOpenedObject(ByVal objectType As String, ByVal objectName As String)","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-024","EXACT","TableExists","modFwComposerService; modFwTranslationRuntime; modFwTranslationTagGeneratorService; modMigrationPaymentTerms; modMigrationTranslations","5","Private","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","ErrorHandling","","570","modAddressRepository; modAppNavigationService; modArticleGroupService; modBasicModuleSchema; modContactRepository; modDemoDataSeeder; modDocumentCalculationService; modDocumentRepository; modFwComposerService; modFwSetup; modFwTranslationAuditService; modFwTranslationEditService; modFwTranslationRuntime; modFwTranslationTagGeneratorService; modMigrationPaymentTerms; modMigrationTranslations; modNumberRangeRepository; modOrderRepository; modOutputPathService; modTenantRepository; modUserRepository","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modDb","MERGE_EXACT","LOW"
"DG-EXACT-025","EXACT","FieldExists","modMigrationPaymentTerms; modMigrationTranslations","2","Private","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","ErrorHandling","","102","modAppNavigationService; modArticleGroupService; modBasicModuleSchema; modDemoDataSeeder; modDocumentCalculationService; modFwSetup; modMigrationPaymentTerms; modMigrationTranslations","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modDb","MERGE_EXACT","LOW"
"DG-EXACT-026","EXACT","CopyHeaderField; CopyLineField","modOrderRepository","2","Private","Private Sub CopyHeaderField(ByVal rsSource As DAO.Recordset, ByVal rsTarget As DAO.Recordset, ByVal fieldName As String) || Private Sub CopyLineField(ByVal rsSource As DAO.Recordset, ByVal rsTarget As DAO.Recordset, ByVal fieldName As String)","","Signature","49","modOrderRepository","Private Sub CopyHeaderField(ByVal rsSource As DAO.Recordset, ByVal rsTarget As DAO.Recordset, ByVal fieldName As String)","MANUAL_TARGET_SELECTION","KEEP_PRIVATE","LOW"
"DG-EXACT-027","EXACT","NormalizeRoleCode","modSecurityHandler; modSessionContext","2","Private","Private Function NormalizeRoleCode(ByVal RoleCode As String) As String","","","22","modSecurityHandler; modSessionContext","Private Function NormalizeRoleCode(ByVal RoleCode As String) As String","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-EXACT-028","EXACT","ResolveTenantCode","modTenantRepository; modUserRepository","2","Private","Private Function ResolveTenantCode() As String","","","18","modFwDiagnostics; modTenantRepository; modUserRepository","Private Function ResolveTenantCode() As String","MANUAL_TARGET_SELECTION","MERGE_EXACT","LOW"
"DG-SIM-029","SIMILAR","AddressExists; ContactExists","modAddressRepository; modContactRepository","2","Public","Public Function AddressExists(ByVal addressId As Long) As Boolean || Public Function ContactExists(ByVal ContactId As Long) As Boolean","DAO.Database; ErrorHandling","Signature","11","modAddressCockpitService; modAddressRepository; modContactRepository; modDemoDataSeeder; modDocumentRepository; modOrderRepository","Public Function AddressExists(ByVal addressId As Long) As Boolean","MANUAL_TARGET_SELECTION","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-030","SIMILAR","CanReadAddresses; CanReadContacts; CanReadNumberRanges","modAddressRepository; modContactRepository; modNumberRangeRepository","3","Private","Private Function CanReadAddresses() As Boolean || Private Function CanReadContacts() As Boolean || Private Function CanReadNumberRanges() As Boolean","Logging","Signature","19","modAddressRepository; modContactRepository; modNumberRangeRepository","Private Function CanReadAddresses() As Boolean","MANUAL_TARGET_SELECTION","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-031","SIMILAR","CanWriteAddresses; CanWriteContacts; EnsureBasicModuleSchema; ResolveNextArticleNo","modAddressRepository; modArticleService; modContactRepository; modFwSetup","4","Private; Public","Private Function CanWriteAddresses() As Boolean || Private Function CanWriteContacts() As Boolean || Public Function EnsureBasicModuleSchema() As Boolean || Public Function ResolveNextArticleNo() As String","","Visibility; Signature","6","modAddressRepository; modArticleService; modContactRepository; modFwSetup","Private Function CanWriteAddresses() As Boolean","modDb","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-032","SIMILAR","SetFieldIfExists; SetRecordsetFieldValue; SetRecordsetValue","modAddressRepository; modContactRepository; modDocumentCalculationService; modDocumentRepository; modFwTranslationAuditService; modMigrationTranslations; modOrderCalculationService; modOrderRepository","8","Private","Private Sub SetFieldIfExists(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal Value As Variant) || Private Sub SetRecordsetFieldValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal fieldValue As Variant) || Private Sub SetRecordsetValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal fieldValue As Variant)","","Signature","1016","modAddressRepository; modContactRepository; modDemoDataSeeder; modDocumentCalculationService; modDocumentRepository; modFwTranslationAuditService; modMigrationTranslations; modOrderCalculationService; modOrderRepository","Private Sub SetRecordsetValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal fieldValue As Variant)","MANUAL_TARGET_SELECTION","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-033","SIMILAR","GetRecordsetLongValue; ResolveFieldValue","modAddressRepository; modContactRepository; modDocumentCalculationService; modOrderCalculationService; modOrderRepository","5","Private","Private Function GetRecordsetLongValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As Long) As Long || Private Function ResolveFieldValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As String) As String","","Signature","68","modAddressRepository; modContactRepository; modDocumentCalculationService; modOrderCalculationService; modOrderRepository","Private Function ResolveFieldValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As String) As String","MANUAL_TARGET_SELECTION","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-034","SIMILAR","ResolveTenantStatusText; ResolveUserStatusText","modAppDashboardService","2","Private","Private Function ResolveTenantStatusText() As String || Private Function ResolveUserStatusText() As String","","Signature","6","modAppDashboardService","Private Function ResolveTenantStatusText() As String","MANUAL_TARGET_SELECTION","KEEP_PRIVATE","MEDIUM"
"DG-SIM-035","SIMILAR","SetDisplayValueIfPresent","modAppDashboardService; modAppShell","2","Private","Private Sub SetDisplayValueIfPresent(     ByVal formInstance As Access.Form,     ByVal ControlName As String,     ByVal displayValue As String) || Private Sub SetDisplayValueIfPresent(     ByVal formInstance As Access.Form,     ByVal ControlName As String,     ByVal valueText As String)","ErrorHandling","Signature","20","modAppDashboardService; modAppShell","Private Sub SetDisplayValueIfPresent(     ByVal formInstance As Access.Form,     ByVal ControlName As String,     ByVal valueText As String)","MANUAL_TARGET_SELECTION","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-036","SIMILAR","HasControl; HasFormControl","modAppDashboardService; modAppShell; modAppWorkspaceService; modArticleGroupService; modArticleService; modFwTranslationEditService","6","Private","Private Function HasControl(ByVal formInstance As Access.Form, ByVal ControlName As String) As Boolean || Private Function HasControl(ByVal targetForm As Access.Form, ByVal ControlName As String) As Boolean || Private Function HasFormControl(ByVal formInstance As Access.Form, ByVal ControlName As String) As Boolean","ErrorHandling","Signature","146","modAppDashboardService; modAppShell; modAppWorkspaceService; modArticleGroupService; modArticleService; modFwTranslationEditService","Private Function HasControl(ByVal formInstance As Access.Form, ByVal ControlName As String) As Boolean","MANUAL_TARGET_SELECTION","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-037","SIMILAR","NullIfEmpty; NzText","modAppDashboardService; modDemoDataSeeder","2","Private","Private Function NullIfEmpty(ByVal Value As String) As Variant || Private Function NzText(ByVal Value As String, Optional ByVal defaultValue As String = ""n/a"") As String","","Signature","19","modAppDashboardService; modDemoDataSeeder; modFwTranslationTagGeneratorService","Private Function NzText(ByVal Value As String, Optional ByVal defaultValue As String = ""n/a"") As String","MANUAL_TARGET_SELECTION","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-038","SIMILAR","GetNavigationRowSource; GetVisibleNavigationRowSource","modAppNavigationService","2","Public","Public Function GetNavigationRowSource(Optional ByVal role_code As String = """") As String || Public Function GetVisibleNavigationRowSource(Optional ByVal role_code As String = """") As String","ErrorHandling","Signature","4","modAppNavigationService","Public Function GetNavigationRowSource(Optional ByVal role_code As String = """") As String","MANUAL_TARGET_SELECTION","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-039","SIMILAR","CollapseNavigationGroup; ExpandNavigationGroup; GetDocumentCustomerName; LoadDashboard","modAppNavigationService; modAppWorkspaceService; modDocumentRepository","4","Public","Public Function CollapseNavigationGroup(ByVal navigation_id As Long) As Boolean || Public Function ExpandNavigationGroup(ByVal navigation_id As Long) As Boolean || Public Function GetDocumentCustomerName(ByVal DocumentId As Long, Optional ByVal defaultValue As String = """") As String || Public Function LoadDashboard(ByVal shellForm As Access.Form) As Boolean","ErrorHandling","Signature","14","modAppNavigationService; modAppShell; modAppWorkspaceService; modDocumentRepository; modOutputPathService","Public Function ExpandNavigationGroup(ByVal navigation_id As Long) As Boolean","MANUAL_TARGET_SELECTION","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-040","SIMILAR","EnsureFieldExists","modAppNavigationService; modArticleGroupService","2","Private","Private Sub EnsureFieldExists(ByVal table_name As String, ByVal field_name As String, ByVal ddlType As String) || Private Sub EnsureFieldExists(ByVal tableName As String, ByVal fieldName As String, ByVal ddlType As String)","","Signature","64","modAppNavigationService; modArticleGroupService","Private Sub EnsureFieldExists(ByVal table_name As String, ByVal field_name As String, ByVal ddlType As String)","modDb","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-041","SIMILAR","EnsureIndexExists","modAppNavigationService; modArticleGroupService","2","Private","Private Sub EnsureIndexExists(ByVal table_name As String, ByVal indexName As String, ByVal createSql As String) || Private Sub EnsureIndexExists(ByVal tableName As String, ByVal indexName As String, ByVal createSql As String)","","Signature","24","modAppNavigationService; modArticleGroupService","Private Sub EnsureIndexExists(ByVal table_name As String, ByVal indexName As String, ByVal createSql As String)","modDb","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-042","SIMILAR","TableExists","modAppNavigationService; modArticleGroupService","2","Private","Private Function TableExists(ByVal table_name As String) As Boolean || Private Function TableExists(ByVal tableName As String) As Boolean","CurrentDb; DAO.Database; ErrorHandling","Signature","228","modAddressRepository; modAppNavigationService; modArticleGroupService; modBasicModuleSchema; modContactRepository; modDemoDataSeeder; modDocumentCalculationService; modDocumentRepository; modFwComposerService; modFwSetup; modFwTranslationAuditService; modFwTranslationEditService; modFwTranslationRuntime; modFwTranslationTagGeneratorService; modMigrationPaymentTerms; modMigrationTranslations; modNumberRangeRepository; modOrderRepository; modOutputPathService; modTenantRepository; modUserRepository","Private Function TableExists(ByVal table_name As String) As Boolean","modDb","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-043","SIMILAR","FieldExists; IndexExists","modAppNavigationService; modArticleGroupService","4","Private","Private Function FieldExists(ByVal table_name As String, ByVal field_name As String) As Boolean || Private Function FieldExists(ByVal tableName As String, ByVal fieldName As String) As Boolean || Private Function IndexExists(ByVal table_name As String, ByVal indexName As String) As Boolean || Private Function IndexExists(ByVal tableName As String, ByVal indexName As String) As Boolean","CurrentDb; DAO.Database; ErrorHandling","Signature","126","modAppNavigationService; modArticleGroupService; modBasicModuleSchema; modDemoDataSeeder; modDocumentCalculationService; modFwSetup; modMigrationPaymentTerms; modMigrationTranslations","Private Function FieldExists(ByVal table_name As String, ByVal field_name As String) As Boolean","modDb","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-044","SIMILAR","ExecuteShellListClearSearch; SeedDemoData; UpdateShellCommandBarState","modAppShell; modDemoDataSeeder","3","Public","Public Sub ExecuteShellListClearSearch(ByVal shellForm As Access.Form) || Public Sub SeedDemoData(Optional ByVal TenantCode As String = ""DEMO_CH"") || Public Sub UpdateShellCommandBarState(ByVal shellForm As Access.Form)","","Signature","0","","Public Sub UpdateShellCommandBarState(ByVal shellForm As Access.Form)","MANUAL_TARGET_SELECTION","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-045","SIMILAR","ExecuteShellListEdit; ExecuteShellListNew; ExecuteShellListRefresh; ExecuteShellListSearch","modAppShell","4","Public","Public Sub ExecuteShellListEdit(ByVal shellForm As Access.Form) || Public Sub ExecuteShellListNew(ByVal shellForm As Access.Form) || Public Sub ExecuteShellListRefresh(ByVal shellForm As Access.Form) || Public Sub ExecuteShellListSearch(ByVal shellForm As Access.Form, ByVal searchText As String)","","Signature","0","","Public Sub ExecuteShellListSearch(ByVal shellForm As Access.Form, ByVal searchText As String)","MANUAL_TARGET_SELECTION","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-046","SIMILAR","ResolveCurrentRoleText; ResolveCurrentUserText","modAppShell","2","Private","Private Function ResolveCurrentRoleText() As String || Private Function ResolveCurrentUserText() As String","","Signature","6","modAppShell","Private Function ResolveCurrentUserText() As String","MANUAL_TARGET_SELECTION","KEEP_PRIVATE","MEDIUM"
"DG-SIM-047","SIMILAR","IsAdmin; IsFeatureEnabled; IsSupervisor; NormalizeProjectLanguageCode; ResolveEnvironmentText; SqlDateOrNull","modAppShell; modFwTranslationRuntime; modLicenseHandler; modSecurityHandler; modSqlHelper","6","Private; Public","Private Function ResolveEnvironmentText() As String || Public Function IsAdmin() As Boolean || Public Function IsFeatureEnabled(ByVal featureName As String) As Boolean || Public Function IsSupervisor() As Boolean || Public Function NormalizeProjectLanguageCode(ByVal languageCode As String) As String || Public Function SqlDateOrNull(ByVal Value As Variant) As String","","Visibility; Signature","9","modAppShell; modFwSetup; modFwTranslationRuntime; modLicenseHandler; modSecurityHandler; modSqlHelper","Private Function ResolveEnvironmentText() As String","modTranslationService","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-048","SIMILAR","SetControlEnabledIfPresent; SetControlVisibleIfPresent","modAppShell","2","Private","Private Sub SetControlEnabledIfPresent(     ByVal formInstance As Access.Form,     ByVal ControlName As String,     ByVal isEnabled As Boolean) || Private Sub SetControlVisibleIfPresent(     ByVal formInstance As Access.Form,     ByVal ControlName As String,     ByVal isVisible As Boolean)","ErrorHandling","Signature","17","modAppShell","Private Sub SetControlEnabledIfPresent(     ByVal formInstance As Access.Form,     ByVal ControlName As String,     ByVal isEnabled As Boolean)","MANUAL_TARGET_SELECTION","KEEP_PRIVATE","MEDIUM"
"DG-SIM-049","SIMILAR","ClearShellSearchText; SetFieldValueIfPresent","modAppShell; modArticleGroupService; modArticleService","3","Private","Private Sub ClearShellSearchText(ByVal shellForm As Access.Form) || Private Sub SetFieldValueIfPresent(ByVal formInstance As Access.Form, ByVal fieldName As String, ByVal fieldValue As Variant)","ErrorHandling","Signature","20","modArticleGroupService; modArticleService","Private Sub ClearShellSearchText(ByVal shellForm As Access.Form)","MANUAL_TARGET_SELECTION","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-050","SIMILAR","GetConfigValue; SupportsWorkspaceCommandBarApi","modAppShell; modConfigIni","2","Private; Public","Private Function SupportsWorkspaceCommandBarApi(ByVal workspaceForm As Access.Form) As Boolean || Public Function GetConfigValue(ByVal SectionName As String, ByVal keyName As String, Optional ByVal defaultValue As String = vbNullString, Optional ByVal IniPath As String = vbNullString) As String","","Visibility; Signature","19","modAppShell; modConfigIni; modDb; modFwDiagnostics; modFwTranslationRuntime; modSessionContext; modTenantContext","Private Function SupportsWorkspaceCommandBarApi(ByVal workspaceForm As Access.Form) As Boolean","modConfigIni","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
"DG-SIM-051","SIMILAR","TryGetHostedForm; TryGetHostedWorkspaceForm","modAppShell; modAppWorkspaceService","2","Private","Private Function TryGetHostedForm(ByVal hostControl As Control) As Access.Form || Private Function TryGetHostedWorkspaceForm(ByVal workspaceHost As Control) As Access.Form","ErrorHandling","Signature","9","modAppShell; modAppWorkspaceService; modFwDiagnostics","Private Function TryGetHostedForm(ByVal hostControl As Control) As Access.Form","MANUAL_TARGET_SELECTION","MERGE_WITH_SIGNATURE_UNIFICATION","MEDIUM"
